Short Name,Birthdate,Team,Match,Date,Competition,Season,Position Group,Minutes,Minutes TIP,Minutes OTIP,Minutes 1,Minutes 1 TIP,Minutes 1 OTIP,Minutes 2,Minutes 2 TIP,Minutes 2 OTIP,Physical Check Passed,Distance,M/min,Running Distance,HSR Distance,HSR Count,Sprint Distance,Sprint Count,HI Distance,HI Count,Medium Acceleration Count,High Acceleration Count,Medium Deceleration Count,High Deceleration Count,Explosive Acceleration to HSR Count,Time to HSR,Explosive Acceleration to Sprint Count,Time to Sprint,PSV-99,Distance P90,M/min P90,Running Distance P90,HSR Distance P90,HSR Count P90,Sprint Distance P90,Sprint Count P90,HI Distance P90,HI Count P90,Medium Acceleration Count P90,High Acceleration Count P90,Medium Deceleration Count P90,High Deceleration Count P90,Explosive Acceleration to HSR Count P90,Explosive Acceleration to Sprint Count P90,Distance TIP,M/min TIP,Running Distance TIP,HSR Distance TIP,HSR Count TIP,Sprint Distance TIP,Sprint Count TIP,HI Distance TIP,HI Count TIP,Medium Acceleration Count TIP,High Acceleration Count TIP,Medium Deceleration Count TIP,High Deceleration Count TIP, Explosive Acceleration to HSR Count TIP, Explosive Acceleration to Sprint Count TIP,Distance OTIP,M/min OTIP,Running Distance OTIP,HSR Distance OTIP,HSR Count OTIP,Sprint Distance OTIP,Sprint Count OTIP,HI Distance OTIP,HI Count OTIP,Medium Acceleration Count OTIP,High Acceleration Count OTIP,Medium Deceleration Count OTIP,High Deceleration Count OTIP,Explosive Acceleration to HSR Count OTIP,Explosive Acceleration to Sprint Count OTIP,Distance 1,M/min 1,Running Distance 1,HSR Distance 1,HSR Count 1,Sprint Distance 1,Sprint Count 1,HI Distance 1,HI Count 1,Medium Acceleration Count 1,High Acceleration Count 1,Medium Deceleration Count 1,High Deceleration Count 1,Explosive Acceleration to HSR Count 1,Explosive Acceleration to Sprint Count 1,Distance 1 TIP,M/min 1 TIP,Running Distance 1 TIP,HSR Distance 1 TIP,HSR Count 1 TIP,Sprint Distance 1 TIP,Sprint Count 1 TIP,HI Distance 1 TIP,HI Count 1 TIP,Medium Acceleration Count 1 TIP,High Acceleration Count 1 TIP,Medium Deceleration Count 1 TIP,High Deceleration Count 1 TIP, Explosive Acceleration to HSR Count 1 TIP, Explosive Acceleration to Sprint Count 1 TIP,Distance 1 OTIP,M/min 1 OTIP,Running Distance 1 OTIP,HSR Distance 1 OTIP,HSR Count 1 OTIP,Sprint Distance 1 OTIP,Sprint Count 1 OTIP,HI Distance 1 OTIP,HI Count 1 OTIP,Medium Acceleration Count 1 OTIP,High Acceleration Count 1 OTIP,Medium Deceleration Count 1 OTIP,High Deceleration Count 1 OTIP,Explosive Acceleration to HSR Count 1 OTIP,Explosive Acceleration to Sprint Count 1 OTIP,Distance 2,M/min 2,Running Distance 2,HSR Distance 2,HSR Count 2,Sprint Distance 2,Sprint Count 2,HI Distance 2,HI Count 2,Medium Acceleration Count 2,High Acceleration Count 2,Medium Deceleration Count 2,High Deceleration Count 2,Explosive Acceleration to HSR Count 2,Explosive Acceleration to Sprint Count 2,Distance 2 TIP,M/min 2 TIP,Running Distance 2 TIP,HSR Distance 2 TIP,HSR Count 2 TIP,Sprint Distance 2 TIP,Sprint Count 2 TIP,HI Distance 2 TIP,HI Count 2 TIP,Medium Acceleration Count 2 TIP,High Acceleration Count 2 TIP,Medium Deceleration Count 2 TIP,High Deceleration Count 2 TIP, Explosive Acceleration to HSR Count 2 TIP, Explosive Acceleration to Sprint Count 2 TIP,Distance 2 OTIP,M/min 2 OTIP,Running Distance 2 OTIP,HSR Distance 2 OTIP,HSR Count 2 OTIP,Sprint Distance 2 OTIP,Sprint Count 2 OTIP,HI Distance 2 OTIP,HI Count 2 OTIP,Medium Acceleration Count 2 OTIP,High Acceleration Count 2 OTIP,Medium Deceleration Count 2 OTIP,High Deceleration Count 2 OTIP,Explosive Acceleration to HSR Count 2 OTIP,Explosive Acceleration to Sprint Count 2 OTIP
K. Diatta,25/02/1999,AS Monaco,AS Monaco v FC Nantes,02/10/2022,FRA - Ligue 1,2022/2023,Wide Attacker,93.25,27.1,29.72,46.1,14.3,14.12,47.15,12.8,15.6,TRUE,10413,111.67,1322,776,72,319,16,1095,88,105,5,90,19,null,null,null,null,29.5,10050.08,111.67,1275.92,748.95,69.49,307.88,15.44,1056.84,84.93,101.34,4.83,86.86,18.34,null,null,3733,137.75,641,409,36,186,9,595,45,40,2,25,3,null,null,4039,135.92,603,303,31,115,5,418,36,42,1,34,7,null,null,5320,115.4,755,362,37,162,9,524,46,60,4,50,12,null,null,1939,135.59,359,169,16,72,4,241,20,21,1,12,1,null,null,2057,145.71,348,164,19,85,4,249,23,24,1,19,5,null,null,5093,108.02,567,414,35,157,7,571,42,45,1,40,7,null,null,1794,140.16,282,240,20,114,5,354,25,19,1,13,2,null,null,1982,127.05,255,139,12,30,1,169,13,18,0,15,2,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Trabzonspor,06/10/2022,UEFA - Europa League,2022/2023,Wide Attacker,100.13,30.52,25.33,51.08,13.43,12.23,49.05,17.08,13.1,TRUE,10930,109.15,1490,529,55,173,9,702,64,109,9,98,18,null,null,null,null,29.5,9823.9,109.15,1339.21,475.47,49.43,155.49,8.09,630.96,57.52,97.97,8.09,88.08,16.18,null,null,4363,142.97,804,328,32,70,5,398,37,53,4,43,5,null,null,3430,135.39,549,159,15,97,2,256,17,40,2,27,7,null,null,5374,105.2,820,266,25,41,3,307,28,57,4,52,9,null,null,2000,148.88,441,165,14,32,2,197,16,27,1,24,2,null,null,1674,136.84,295,83,7,4,0,87,7,21,1,13,5,null,null,5556,113.27,670,263,30,132,6,395,36,52,5,46,9,null,null,2363,138.32,363,163,18,38,3,201,21,26,3,19,3,null,null,1756,134.05,254,76,8,93,2,169,10,19,1,14,2,null,null
K. Diatta,25/02/1999,AS Monaco,Montpellier Hérault SC v AS Monaco,09/10/2022,FRA - Ligue 1,2022/2023,Wide Attacker,49.15,12.35,13.25,0,0,0,49.15,12.35,13.25,TRUE,5667,115.3,970,307,31,109,6,416,37,49,2,46,7,null,null,null,null,30.2,10377.01,115.3,1776.2,562.16,56.77,199.59,10.99,761.75,67.75,89.73,3.66,84.23,12.82,null,null,1959,158.62,494,185,18,65,3,250,21,17,1,11,2,null,null,1865,140.75,324,79,7,32,2,111,9,21,1,16,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5667,115.3,970,307,31,109,6,416,37,49,2,46,7,null,null,1959,158.62,494,185,18,65,3,250,21,17,1,11,2,null,null,1865,140.75,324,79,7,32,2,111,9,21,1,16,3,null,null
K. Diatta,25/02/1999,AS Monaco,Trabzonspor v AS Monaco,13/10/2022,UEFA - Europa League,2022/2023,Wide Attacker,63.55,15.93,15.63,48.6,13.17,12.6,14.95,2.77,3.03,TRUE,7347,115.61,1278,425,45,157,10,582,55,81,6,67,14,null,null,null,null,29.3,10404.88,115.61,1809.91,601.89,63.73,222.34,14.16,824.23,77.89,114.71,8.5,94.89,19.83,null,null,2590,162.55,651,248,25,109,6,357,31,33,3,24,5,null,null,2303,147.31,450,124,14,30,3,154,17,22,1,21,2,null,null,5835,120.06,996,351,37,142,9,493,46,64,5,55,12,null,null,2078,157.82,486,201,20,105,6,306,26,27,2,18,4,null,null,1944,154.29,384,118,13,30,3,148,16,19,1,18,2,null,null,1512,101.14,282,74,8,15,1,89,9,17,1,12,2,null,null,512,185.06,165,47,5,4,0,51,5,6,1,6,1,null,null,359,118.35,66,6,1,0,0,6,1,3,0,3,0,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Clermont Foot 63,16/10/2022,FRA - Ligue 1,2022/2023,Wide Attacker,76.27,14.45,28.57,27.48,5.92,10.08,48.78,8.53,18.48,TRUE,8896,116.64,1448,498,52,99,6,597,58,115,9,89,22,null,null,null,null,27.3,10497.9,116.64,1708.74,587.67,61.36,116.83,7.08,704.5,68.44,135.71,10.62,105.03,25.96,null,null,2181,150.93,461,206,20,39,3,245,23,26,3,18,4,null,null,4309,150.84,881,263,26,55,2,318,28,60,3,45,10,null,null,3149,114.58,465,210,22,58,3,268,25,46,3,29,10,null,null,811,137.07,158,103,8,18,1,121,9,7,1,5,2,null,null,1517,150.45,282,99,11,35,1,134,12,25,1,14,3,null,null,5747,117.81,983,288,30,41,3,329,33,69,6,60,12,null,null,1370,160.55,303,103,12,21,2,124,14,19,2,13,2,null,null,2792,151.06,599,164,15,20,1,184,16,35,2,31,7,null,null
K. Diatta,25/02/1999,AS Monaco,LOSC Lille v AS Monaco,23/10/2022,FRA - Ligue 1,2022/2023,Wide Attacker,81.53,16.68,24.35,45.2,10.67,15.28,36.33,6.02,9.07,TRUE,9539,117,1566,769,68,208,13,977,81,111,9,85,21,null,null,null,null,28.9,10529.56,117,1728.62,848.86,75.06,229.6,14.35,1078.45,89.41,122.53,9.93,93.83,23.18,null,null,2750,164.84,652,312,29,97,8,409,37,34,2,21,4,null,null,3640,149.49,708,399,34,92,4,491,38,45,3,32,6,null,null,5565,123.12,983,482,42,140,9,622,51,70,7,52,14,null,null,1778,166.69,435,219,21,85,7,304,28,23,1,15,3,null,null,2203,144.14,424,229,18,36,2,265,20,27,2,18,4,null,null,3974,109.38,583,287,26,68,4,355,30,41,2,33,7,null,null,972,161.55,217,93,8,12,1,105,9,11,1,6,1,null,null,1437,158.49,284,170,16,56,2,226,18,18,1,14,2,null,null
K. Diatta,25/02/1999,AS Monaco,Ferencvarosi TC v AS Monaco,27/10/2022,UEFA - Europa League,2022/2023,Full Back,57.25,14.43,16.02,7.9,2.53,2.43,49.35,11.9,13.58,TRUE,6857,119.77,1346,523,49,113,8,636,57,72,6,69,13,null,null,null,null,27.8,10779.56,119.77,2115.98,822.18,77.03,177.64,12.58,999.83,89.61,113.19,9.43,108.47,20.44,null,null,2071,143.49,474,134,10,22,2,156,12,19,1,15,1,null,null,2729,170.39,732,343,31,89,5,432,36,29,2,23,5,null,null,1120,141.77,232,98,9,32,2,130,11,11,1,11,3,null,null,359,141.71,89,8,0,6,0,14,0,3,0,1,0,null,null,444,182.47,110,79,6,26,1,105,7,2,0,2,1,null,null,5737,116.25,1114,425,40,81,6,506,46,61,5,58,10,null,null,1712,143.87,385,126,10,16,2,142,12,16,1,14,1,null,null,2285,168.22,622,264,25,63,4,327,29,27,2,21,4,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Red Star Belgrade,03/11/2022,UEFA - Europa League,2022/2023,Wide Attacker,76.52,21.07,23.87,46.3,14.85,13.95,30.22,6.22,9.92,TRUE,9262,121.05,1433,486,47,204,8,690,55,95,5,90,12,null,null,null,null,29.6,10894.1,121.05,1685.52,571.64,55.28,239.95,9.41,811.59,64.69,111.74,5.88,105.86,14.11,null,null,3136,148.86,560,281,23,111,4,392,27,35,1,27,3,null,null,3584,150.17,743,160,16,64,2,224,18,44,2,37,5,null,null,5801,125.29,911,350,31,122,5,472,36,60,4,55,8,null,null,2226,149.9,414,223,17,61,3,284,20,27,1,22,2,null,null,2157,154.62,440,93,9,35,1,128,10,26,2,20,3,null,null,3461,114.54,522,136,16,82,3,218,19,35,1,35,4,null,null,910,146.38,146,58,6,50,1,108,7,8,0,5,1,null,null,1427,143.9,303,67,7,29,1,96,8,18,0,17,2,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Olympique de Marseille,13/11/2022,FRA - Ligue 1,2022/2023,Wide Attacker,95.82,21.52,33.47,46.45,10.83,16.92,49.37,10.68,16.55,TRUE,10929,114.06,1685,752,70,301,13,1053,83,125,14,99,23,null,null,null,null,30.4,10265.54,114.06,1582.71,706.35,65.75,282.73,12.21,989.08,77.96,117.41,13.15,92.99,21.6,null,null,3352,155.79,649,397,36,211,9,608,45,45,4,27,4,null,null,4728,141.27,902,296,26,82,3,378,29,52,5,41,8,null,null,5655,121.74,983,382,36,158,8,540,44,66,6,54,13,null,null,1677,154.8,316,203,18,106,5,309,23,23,1,13,2,null,null,2586,152.87,589,145,12,51,2,196,14,24,2,22,3,null,null,5274,106.83,702,370,34,143,5,513,39,59,8,45,10,null,null,1675,156.79,333,194,18,105,4,299,22,22,3,14,2,null,null,2142,129.43,313,151,14,31,1,182,15,28,3,19,5,null,null
K. Diatta,25/02/1999,AS Monaco,AS Monaco v Stade Brestois 29,01/01/2023,FRA - Ligue 1,2022/2023,Wide Attacker,73.28,22.18,17.78,48.18,15.05,10.87,25.1,7.13,6.92,TRUE,8332,113.7,1356,666,65,207,15,873,80,95,8,83,18,null,null,null,null,28.8,10232.61,113.7,1665.32,817.92,79.83,254.22,18.42,1072.14,98.25,116.67,9.82,101.93,22.11,null,null,3387,152.68,729,416,29,70,5,486,34,43,3,31,4,null,null,2467,138.73,457,196,28,126,7,322,35,32,4,23,6,null,null,5611,116.45,905,511,45,161,11,672,56,63,5,54,13,null,null,2416,160.53,506,331,22,61,5,392,27,33,2,25,3,null,null,1506,138.59,278,133,17,89,4,222,21,18,2,13,4,null,null,2721,108.41,451,155,20,46,4,201,24,32,3,29,5,null,null,971,136.12,223,85,7,9,0,94,7,10,1,6,1,null,null,961,138.94,179,63,11,37,3,100,14,14,2,10,2,null,null
K. Diatta,25/02/1999,AS Monaco,FC Lorient v AS Monaco,11/01/2023,FRA - Ligue 1,2022/2023,Wide Attacker,64.18,21.63,15.1,47.12,14.8,11.72,17.07,6.83,3.38,TRUE,7784,121.28,1138,549,47,117,6,666,53,75,5,59,12,null,null,null,null,28.7,10914.98,121.28,1595.74,769.83,65.9,164.06,8.41,933.89,74.32,105.17,7.01,82.73,16.83,null,null,3243,149.91,703,327,27,45,3,372,30,36,2,23,4,null,null,2238,148.21,336,194,16,67,2,261,18,22,1,17,3,null,null,5586,118.56,796,431,38,90,6,521,44,56,4,43,8,null,null,2259,152.64,499,268,21,41,3,309,24,28,1,15,3,null,null,1670,142.53,251,142,14,48,2,190,16,16,1,13,2,null,null,2198,128.79,342,118,9,27,0,145,9,19,1,16,4,null,null,984,144,204,59,6,4,0,63,6,8,1,8,1,null,null,568,167.88,85,52,2,19,0,71,2,6,0,4,1,null,null
